"seccion","dominio","ln","pan_pm15","pri_pm15","prd_pm15","pt_pm15","pvem_pm15","mc_pm15","na_pm15","morena_pm15","ph_pm15","pes_pm15","pfd_pm15","pripvemna_pm15","pripvem_pm15","prina_pm15","pvemna_pm15","panpt_pm15","candidatoindependiente_pm15","noregistrados_pm15","nulos_pm15","total_pm15","nh","pik","estrato.simulacion","id_unit","prob","stratum","fexp","seccion_sustituta"
5244,0,1430,230,232,39,42,41,21,15,44,28,47,6,0,2,0,0,0,0,4,29,780,627,0.001594896,6,2109,0.043062201,6,23.22222222,
5267,0,2865,167,653,64,44,28,55,18,51,17,78,8,3,16,0,0,0,0,1,63,1266,627,0.001594896,6,2132,0.043062201,6,23.22222222,
5291,0,2894,392,465,98,44,62,48,41,111,42,71,9,0,2,0,0,0,0,4,51,1440,627,0.001594896,6,2156,0.043062201,6,23.22222222,
5314,0,1545,321,241,43,50,18,17,17,58,30,29,2,0,0,0,0,0,0,1,47,874,627,0.001594896,6,2179,0.043062201,6,23.22222222,
5337,0,3193,267,533,134,65,68,48,50,96,35,40,6,5,10,0,0,0,0,1,62,1420,627,0.001594896,6,2202,0.043062201,6,23.22222222,
5377,0,1523,183,303,66,25,9,31,59,27,19,49,4,0,3,2,0,0,0,1,36,817,627,0.001594896,6,2225,0.043062201,6,23.22222222,
5414,0,4835,562,620,104,73,55,68,68,131,68,89,15,0,3,0,0,0,0,4,86,1946,627,0.001594896,6,2248,0.043062201,6,23.22222222,
5445,0,1332,63,465,294,4,3,0,2,24,90,0,1,0,0,0,0,0,0,0,17,963,627,0.001594896,6,2272,0.043062201,6,23.22222222,
5824,0,1378,229,247,70,39,14,54,55,53,16,21,31,0,0,0,0,0,0,0,39,868,627,0.001594896,6,2295,0.043062201,6,23.22222222,
6434,0,739,119,108,22,12,4,14,9,36,16,28,3,0,0,0,0,0,0,1,15,387,627,0.001594896,6,2318,0.043062201,6,23.22222222,
6460,0,848,71,103,14,7,18,13,15,52,15,27,4,1,1,0,0,0,0,1,11,353,627,0.001594896,6,2341,0.043062201,6,23.22222222,
225,1,862,108,182,20,4,5,94,1,6,7,68,0,0,1,0,0,0,0,0,12,508,241,0.004149378,7,2361,0.041493776,7,24.1,
475,1,685,60,253,8,154,3,0,12,3,4,2,0,0,0,0,0,0,0,0,9,508,241,0.004149378,7,2385,0.041493776,7,24.1,
691,1,9312,787,1271,404,155,55,79,67,303,0,158,0,0,8,0,0,0,0,133,78,3498,241,0.004149378,7,2409,0.041493776,7,24.1,
1123,1,2105,14,284,243,11,22,5,18,197,30,98,0,2,3,0,0,0,0,1,37,965,241,0.004149378,7,2433,0.041493776,7,24.1,
3793,1,3468,284,864,48,18,31,177,44,103,27,28,1,9,12,0,1,0,0,0,42,1689,241,0.004149378,7,2457,0.041493776,7,24.1,
4114,1,993,231,221,8,8,2,8,2,162,0,0,1,0,1,0,0,0,0,0,13,657,241,0.004149378,7,2481,0.041493776,7,24.1,
4529,1,729,109,181,37,14,5,5,8,5,0,35,2,0,0,0,0,0,0,1,13,415,241,0.004149378,7,2505,0.041493776,7,24.1,
4560,1,1087,90,218,96,3,1,125,8,144,17,0,0,1,0,0,0,0,0,1,6,710,241,0.004149378,7,2530,0.041493776,7,24.1,
5710,1,1481,301,413,4,20,17,114,23,49,0,0,0,0,0,0,0,0,29,0,32,1002,241,0.004149378,7,2554,0.041493776,7,24.1,
5914,1,1162,130,208,75,26,5,28,20,53,22,28,4,0,0,0,0,0,0,0,16,615,241,0.004149378,7,2578,0.041493776,7,24.1,
35,1,3173,36,1397,312,31,18,45,3,50,36,46,0,0,8,0,0,0,28,16,33,2059,2706,0.000369549,8,2587,0.038063562,8,26.27184466,
201,1,1431,20,208,134,6,13,85,6,30,0,291,39,0,2,0,0,0,0,0,20,854,2706,0.000369549,8,2613,0.038063562,8,26.27184466,
464,1,2607,276,319,408,30,10,386,5,49,0,25,112,0,2,0,0,0,0,0,43,1665,2706,0.000369549,8,2639,0.038063562,8,26.27184466,
543,1,1588,127,227,107,11,30,24,26,67,28,78,2,4,5,2,0,0,0,1,28,767,2706,0.000369549,8,2666,0.038063562,8,26.27184466,
569,1,9774,728,997,737,66,138,195,137,568,146,302,47,3,10,0,1,0,0,5,210,4290,2706,0.000369549,8,2692,0.038063562,8,26.27184466,
